Proteins, RateConstant, Number of peptides, SD, Abundance
LACB2_MOUSE,    0.311888, 6,    0.064017, 165057167360.000000
LACTB_MOUSE,    0.166712, 6,    0.027999, 67878793216.000000
LAMA5_MOUSE,    0.006537, 1,    0.000000, 351969344.000000
LAMB2_MOUSE,    0.027189, 1,    4.538374, 442034272.000000
LAMP1_MOUSE,    0.436410, 0,    0.000000, 1037979392.000000
LAMP2_MOUSE,    0.732313, 2,    2.344218, 19556874240.000000
LANC1_MOUSE,    0.237521, 1,    0.000000, 522279136.000000
LANC2_MOUSE,    0.128683, 2,    0.100504, 1305944192.000000
LAP2B_MOUSE,    0.349180, 2,    0.187508, 7417992192.000000
LAR4B_MOUSE,    1.081099, 1,    0.000000, 204459504.000000
LARP1_MOUSE,    0.209244, 0,    0.000000, 1766201216.000000
LASP1_MOUSE,    0.490171, 4,    0.134662, 17860577280.000000
LA_MOUSE,    0.458378, 3,    1.005857, 1995389568.000000
LBR_MOUSE,    0.241495, 2,    0.709952, 1583570304.000000
LC7L2_MOUSE,    5.139397, 0,    3.487682, 1497132416.000000
LC7L3_MOUSE,    0.580210, 1,    0.000000, 295150016.000000
LCLT1_MOUSE,    0.000177, 0,    0.000000, 219104288.000000
LDHA_MOUSE,    0.342583, 18,    0.084062, 1582889304064.000000
LDHB_MOUSE,    0.000612, 1,    0.093889, 1427930112.000000
LDHD_MOUSE,    0.346297, 9,    0.069411, 141292486656.000000
LDLR_MOUSE,    1.176553, 3,    2.165756, 1772464256.000000
LEG1_MOUSE,    0.230200, 3,    0.031748, 25150105600.000000
LEG9_MOUSE,    0.993094, 4,    0.275092, 215623139328.000000
LETM1_MOUSE,    0.169338, 8,    0.022624, 68929454080.000000
LG3BP_MOUSE,    0.823285, 1,    0.559998, 2716631808.000000
LGAT1_MOUSE,    0.507521, 1,    0.000000, 2007025024.000000
LGMN_MOUSE,    0.277700, 4,    0.050469, 28181985280.000000
LGUL_MOUSE,    0.294785, 8,    0.070676, 309327921152.000000
LHPP_MOUSE,    0.051293, 3,    0.094370, 9678041088.000000
LICH_MOUSE,    0.703408, 4,    0.166653, 35348213760.000000
LIMA1_MOUSE,    0.883164, 2,    0.273044, 3791206912.000000
LIN7A_MOUSE,    0.215624, 1,    0.054192, 1441652864.000000
LIS1_MOUSE,    0.499393, 4,    0.267943, 8422865408.000000
LKHA4_MOUSE,    0.148737, 13,    0.037726, 76336070656.000000
LMAN1_MOUSE,    0.330187, 7,    0.136418, 144996401152.000000
LMAN2_MOUSE,    0.611664, 3,    0.447779, 31006371840.000000
LMF1_MOUSE,    0.255598, 2,    0.062742, 6468612608.000000
LMF2_MOUSE,    0.802207, 2,    0.409127, 441543776.000000
LMNA_MOUSE,    0.098523, 12,    0.028310, 102274392064.000000
LMNB1_MOUSE,    0.016273, 4,    0.010972, 11746816000.000000
LMNB2_MOUSE,    0.058960, 2,    0.019012, 10779722752.000000
LONM_MOUSE,    0.149957, 23,    0.110664, 156417572864.000000
LONP2_MOUSE,    3.881062, 6,    3.405631, 20020121600.000000
LPP60_MOUSE,    0.729617, 4,    0.252464, 15202012160.000000
LPPRC_MOUSE,    0.454502, 19,    0.122706, 135097892864.000000
LPP_MOUSE,    0.220898, 5,    0.193662, 4809040384.000000
LRBA_MOUSE,    0.314743, 2,    0.162968, 231266016.000000
LRC40_MOUSE,    0.708486, 1,    0.000000, 191995648.000000
LRC47_MOUSE,    0.399400, 2,    0.077991, 971490432.000000
LRC59_MOUSE,    0.102253, 7,    0.024841, 85519155200.000000
LRP1_MOUSE,    0.931881, 12,    0.593265, 41192398848.000000
LSM2_MOUSE,    0.146269, 1,    0.000000, 27302680576.000000
LSM8_MOUSE,    0.093063, 1,    0.000000, 1621341696.000000
LSR_MOUSE,    0.182877, 1,    0.126658, 68153440.000000
LSS_MOUSE,    0.687654, 4,    0.511522, 6536286720.000000
LTMD1_MOUSE,    0.215192, 1,    0.000000, 1217299200.000000
LTOR1_MOUSE,    0.605756, 1,    0.000000, 326764672.000000
LUC7L_MOUSE,    0.791433, 1,    0.000000, 35329972.000000
LUM_MOUSE,    0.065271, 2,    0.043715, 4679152128.000000
LYAG_MOUSE,    0.188858, 5,    0.034123, 33598668800.000000
LYN_MOUSE,    0.265370, 1,    0.000000, 527005920.000000
LYPA1_MOUSE,    0.259496, 6,    0.053406, 62692356096.000000
LYPA2_MOUSE,    0.260846, 4,    0.054293, 3518471168.000000
LYPL1_MOUSE,    0.797091, 1,    0.513799, 1201563392.000000
LYRIC_MOUSE,    0.153244, 5,    0.060346, 95407702016.000000
LYZ2_MOUSE,    0.025782, 1,    0.000000, 201702896.000000
M2GD_MOUSE,    0.149706, 39,    0.039074, 1402407485440.000000
M2OM_MOUSE,    0.123145, 5,    0.021486, 61221228544.000000
MA2A1_MOUSE,    0.646059, 5,    0.079300, 25557532672.000000
MA2B1_MOUSE,    0.518152, 5,    0.609202, 8792984576.000000
MA2C1_MOUSE,    0.147532, 3,    0.067901, 251152816.000000
MAAI_MOUSE,    0.189099, 19,    0.036766, 1167196553216.000000
MACD1_MOUSE,    0.196436, 2,    0.037366, 20200148992.000000
MAGT1_MOUSE,    0.141720, 1,    0.000000, 1065938048.000000
MAIP1_MOUSE,    0.162682, 2,    0.002278, 2908165120.000000
MAL2_MOUSE,    0.081506, 1,    0.000000, 3916059648.000000
MANBA_MOUSE,    0.111004, 2,    0.084633, 2901397760.000000
MANF_MOUSE,    0.448334, 4,    0.162429, 31365345280.000000
MAOX_MOUSE,    0.238212, 29,    0.063347, 790902800384.000000
MAP11_MOUSE,    0.175376, 4,    0.055766, 4425925120.000000
MAP4_MOUSE,    0.553427, 2,    0.271169, 676398976.000000
MARC1_MOUSE,    0.359058, 7,    0.075338, 152913313792.000000
MARC2_MOUSE,    0.250350, 6,    0.195801, 103518773248.000000
MARH5_MOUSE,    0.855949, 3,    0.264494, 2378014464.000000
MAT2B_MOUSE,    0.443039, 3,    0.059006, 5129239552.000000
MATR3_MOUSE,    0.583545, 7,    0.123196, 14422990848.000000
MAVS_MOUSE,    0.319560, 6,    0.125305, 31760637952.000000
MBB1A_MOUSE,    0.778985, 4,    0.477719, 11031163904.000000
MBL2_MOUSE,    9.570667, 1,    0.000000, 9721513984.000000
MBOA5_MOUSE,    0.548456, 2,    0.072550, 4965918720.000000
MBOA7_MOUSE,    1.153748, 1,    0.736867, 1841330176.000000
MCA3_MOUSE,    0.664739, 1,    0.422804, 3046098688.000000
MCAT_MOUSE,    0.155175, 8,    0.047816, 121469591552.000000
MCCA_MOUSE,    0.124554, 17,    0.027067, 146679513088.000000
MCCB_MOUSE,    0.168530, 16,    0.041518, 127434416128.000000
MCTS1_MOUSE,    0.244613, 3,    0.072626, 8768293888.000000
MDHC_MOUSE,    0.240781, 12,    0.057507, 1751226122240.000000
MDHM_MOUSE,    0.161793, 17,    0.023014, 1815038918656.000000
MDR3_MOUSE,    0.720261, 2,    1.678289, 3228903424.000000
MECP2_MOUSE,    0.058843, 1,    0.020236, 801125376.000000
MECR_MOUSE,    0.100959, 4,    0.033444, 50113261568.000000
MEMO1_MOUSE,    0.414384, 3,    0.086610, 8991773696.000000
MEP1A_MOUSE,    0.034873, 0,    0.015085, 432206144.000000
MEP50_MOUSE,    0.263298, 1,    0.057797, 1087616256.000000
MET7B_MOUSE,    0.486276, 4,    0.039561, 216185602048.000000
METK1_MOUSE,    0.408714, 8,    0.066507, 740383129600.000000
METK2_MOUSE,    1.744410, 1,    0.000000, 3330309632.000000
MFN2_MOUSE,    0.187946, 1,    0.000000, 234869520.000000
MGDP1_MOUSE,    0.439461, 2,    0.175636, 2514728448.000000
MGLL_MOUSE,    0.792205, 3,    0.454064, 7201906688.000000
MGN_MOUSE,    0.064424, 1,    0.000000, 46669868.000000
MGST1_MOUSE,    0.290735, 11,    0.065127, 4675091824640.000000
MIA2_MOUSE,    0.433276, 1,    0.000000, 2711034112.000000
MIC13_MOUSE,    0.499524, 2,    0.003725, 14575480832.000000
MIC19_MOUSE,    0.208321, 5,    0.018710, 29079382016.000000
MIC25_MOUSE,    0.090435, 0,    0.000000, 39562364.000000
MIC26_MOUSE,    0.196500, 3,    0.118750, 15502599168.000000
MIC27_MOUSE,    0.116844, 7,    0.020981, 25607493632.000000
MIC60_MOUSE,    0.134475, 19,    0.033843, 188957704192.000000
MIF_MOUSE,    0.088350, 2,    0.089966, 76307103744.000000
MIGA2_MOUSE,    0.002655, 1,    0.000000, 187474960.000000
MIRO1_MOUSE,    0.236988, 1,    0.113917, 621959616.000000
MIRO2_MOUSE,    0.309122, 4,    0.064019, 938210304.000000
MITOK_MOUSE,    0.306620, 1,    0.000000, 154068640.000000
MITOS_MOUSE,    0.114495, 1,    0.503795, 1334766336.000000
MIX23_MOUSE,    0.118106, 3,    0.030445, 12095442944.000000
MK01_MOUSE,    0.131553, 0,    0.211710, 803741952.000000
MK03_MOUSE,    0.342024, 2,    0.251080, 591179136.000000
MK14_MOUSE,    0.919130, 3,    0.395394, 756039360.000000
ML12B_MOUSE,    0.763187, 6,    0.181185, 65567727616.000000
MLEC_MOUSE,    0.114348, 9,    0.021716, 36593700864.000000
MMAA_MOUSE,    0.251351, 1,    0.000000, 357813408.000000
MMAB_MOUSE,    0.071952, 3,    0.066511, 4720673792.000000
MMSA_MOUSE,    0.143315, 30,    0.035069, 1512167833600.000000
MOCOS_MOUSE,    0.938807, 2,    1.134681, 2140273920.000000
MOCS1_MOUSE,    0.149722, 3,    0.005248, 2204456448.000000
MOCS3_MOUSE,    0.159089, 0,    0.000000, 28682280.000000
MOES_MOUSE,    0.268111, 6,    0.049932, 49388335104.000000
MOGS_MOUSE,    0.107175, 7,    0.015190, 58290647040.000000
MOT10_MOUSE,    0.495222, 1,    0.000000, 86458136.000000
MOT1_MOUSE,    0.298113, 2,    0.007359, 2622603008.000000
MOV10_MOUSE,    0.823059, 2,    0.416184, 1915950336.000000
MP2K1_MOUSE,    0.386116, 4,    0.205498, 4950108672.000000
MP2K2_MOUSE,    0.327283, 4,    0.150357, 4774476288.000000
MPC1_MOUSE,    0.251097, 2,    0.155706, 18566946816.000000
MPC2_MOUSE,    0.217750, 7,    0.098519, 67905282048.000000
MPCP_MOUSE,    0.153528, 9,    0.029577, 460707004416.000000
MPI_MOUSE,    0.268995, 2,    0.000685, 3946990592.000000
MPP6_MOUSE,    0.272577, 0,    0.000000, 622232448.000000
MPPA_MOUSE,    0.232129, 2,    0.002387, 11105810432.000000
MPPB_MOUSE,    3.134854, 1,    3.188575, 3025488896.000000
MPRD_MOUSE,    0.454876, 2,    0.046474, 9149326336.000000
MPU1_MOUSE,    0.300485, 3,    0.021693, 6643256320.000000
MPV17_MOUSE,    0.268822, 2,    0.030138, 6485412352.000000
MRC1_MOUSE,    0.367763, 3,    0.055695, 6812459008.000000
MRCKB_MOUSE,    0.403287, 4,    0.150584, 1534786048.000000
MRP2_MOUSE,    0.638049, 5,    0.122758, 23196891136.000000
MRP6_MOUSE,    0.331524, 4,    0.049058, 10180720640.000000
MSRA_MOUSE,    0.298019, 12,    0.055239, 152028921856.000000
MTA2_MOUSE,    0.473756, 3,    0.273085, 670899584.000000
MTAP_MOUSE,    0.313909, 4,    0.046880, 12785531904.000000
MTCH1_MOUSE,    0.165888, 1,    0.000000, 1004244352.000000
MTCH2_MOUSE,    0.186950, 9,    0.042392, 231293583360.000000
MTFP1_MOUSE,    0.278489, 2,    0.092262, 255216352.000000
MTL26_MOUSE,    0.244552, 4,    0.036808, 83689783296.000000
MTNA_MOUSE,    0.244696, 4,    0.038091, 8422989824.000000
MTNB_MOUSE,    0.218005, 4,    0.426986, 6541598720.000000
MTND_MOUSE,    1.076738, 2,    0.807293, 3725906688.000000
MTPN_MOUSE,    0.454874, 1,    0.000000, 2795306496.000000
MTP_MOUSE,    0.353141, 34,    0.086575, 676512727040.000000
MTUS1_MOUSE,    1.009228, 1,    0.000000, 111527800.000000
MTX1_MOUSE,    0.390490, 4,    0.027485, 13543279616.000000
MTX2_MOUSE,    0.256723, 3,    0.057226, 10471002112.000000
MUG1_MOUSE,    1.160884, 20,    0.643219, 269581123584.000000
MUG2_MOUSE,    4.491375, 3,    3.158378, 7490686976.000000
MUP17_MOUSE,    8.631655, 19,    1.424286, 3744537247744.000000
MUP20_MOUSE,    8.764876, 6,    3.005462, 251234762752.000000
MUP2_MOUSE,    8.136902, 7,    1.963227, 464330194944.000000
MUP3_MOUSE,    9.472793, 1,    0.000000, 55456079872.000000
MUTA_MOUSE,    0.383914, 12,    0.089466, 142806122496.000000
MVD1_MOUSE,    0.292738, 1,    0.000000, 720118848.000000
MVP_MOUSE,    0.314302, 5,    0.010735, 93631889408.000000
MY18A_MOUSE,    0.530598, 4,    0.063748, 2991690752.000000
MYDGF_MOUSE,    0.552998, 2,    0.099962, 23789934592.000000
MYG1_MOUSE,    0.275312, 3,    0.098587, 3047527936.000000
MYH10_MOUSE,    0.158854, 8,    0.093550, 64410726400.000000
MYH11_MOUSE,    0.623901, 2,    0.376974, 8843708416.000000
MYH14_MOUSE,    0.527316, 2,    0.255442, 3057757184.000000
MYH9_MOUSE,    0.360957, 51,    0.100364, 477722312704.000000
MYL6_MOUSE,    0.520892, 7,    0.279543, 43829731328.000000
MYLK_MOUSE,    1.354900, 1,    0.000000, 38497220.000000
MYO1B_MOUSE,    0.294025, 9,    0.215704, 15632474112.000000
MYO1C_MOUSE,    0.101182, 4,    0.044833, 15066470400.000000
MYO1E_MOUSE,    0.272487, 1,    0.000000, 176677088.000000
MYO6_MOUSE,    1.031751, 3,    1.772944, 1055121024.000000
NAA15_MOUSE,    0.472968, 2,    0.046838, 766350336.000000
NACA_MOUSE,    0.406709, 7,    0.146359, 103750279168.000000
NADC_MOUSE,    0.326301, 8,    0.077039, 253177217024.000000
NADE_MOUSE,    0.231907, 2,    0.017830, 815058880.000000
NAGAB_MOUSE,    0.070885, 1,    0.000000, 12801426432.000000
NAGS_MOUSE,    0.634288, 1,    0.000000, 1752216832.000000
NAKD2_MOUSE,    0.127813, 9,    0.019257, 90655973376.000000
NAMPT_MOUSE,    0.414467, 5,    0.089148, 29289353216.000000
NB5R3_MOUSE,    0.281291, 16,    0.062659, 799458656256.000000
NCEH1_MOUSE,    1.041852, 3,    0.355471, 2177112064.000000
NCKP1_MOUSE,    0.418691, 2,    0.147102, 417742368.000000
NCLN_MOUSE,    0.123779, 5,    0.046224, 24191877120.000000
NCPR_MOUSE,    0.483929, 14,    0.123668, 315001405440.000000
NDK3_MOUSE,    0.073496, 1,    0.000000, 1600105088.000000
NDKA_MOUSE,    0.311010, 10,    0.071264, 581314805760.000000
NDKB_MOUSE,    0.287086, 6,    0.079124, 221013065728.000000
NDRG2_MOUSE,    1.119380, 7,    0.169741, 374475718656.000000
NDUA1_MOUSE,    0.392418, 1,    0.000000, 1261432192.000000
NDUA2_MOUSE,    0.090538, 3,    0.012384, 21248458752.000000
NDUA3_MOUSE,    0.175473, 1,    0.000000, 1354377088.000000
NDUA4_MOUSE,    0.494436, 3,    0.142784, 248877907968.000000
NDUA5_MOUSE,    0.197639, 4,    0.057217, 31391023104.000000
NDUA6_MOUSE,    0.375167, 4,    0.087548, 25124986880.000000
NDUA7_MOUSE,    0.236759, 1,    0.000000, 8931547136.000000
NDUA8_MOUSE,    0.122658, 8,    0.022902, 73649979392.000000
NDUA9_MOUSE,    0.254322, 7,    0.051977, 107747213312.000000
NDUAA_MOUSE,    0.223058, 8,    0.069838, 103547158528.000000
NDUAB_MOUSE,    0.151906, 5,    0.069205, 24468760576.000000
NDUAC_MOUSE,    0.281328, 4,    0.371521, 63882551296.000000
NDUAD_MOUSE,    0.129164, 4,    0.031640, 54563311616.000000
NDUB4_MOUSE,    0.156601, 4,    0.047066, 30166427648.000000
NDUB5_MOUSE,    0.165433, 4,    0.044346, 6605863936.000000
NDUB6_MOUSE,    1.784392, 2,    1.229609, 23531810816.000000
NDUB7_MOUSE,    0.151038, 3,    0.063422, 9627599872.000000
NDUB8_MOUSE,    0.158988, 3,    0.132094, 4243059456.000000
NDUB9_MOUSE,    0.119661, 2,    0.036978, 33136023552.000000
NDUBA_MOUSE,    0.191849, 7,    0.107731, 167984300032.000000
NDUBB_MOUSE,    0.215288, 2,    0.178920, 3003335936.000000
NDUC2_MOUSE,    0.169032, 3,    0.049859, 29902921728.000000
NDUF2_MOUSE,    0.307907, 1,    0.128044, 1713421696.000000
NDUF3_MOUSE,    0.212397, 1,    0.038511, 1431022208.000000
NDUF4_MOUSE,    0.358416, 2,    0.114414, 471132384.000000
NDUS1_MOUSE,    0.139714, 15,    0.034319, 295119355904.000000
NDUS2_MOUSE,    0.163452, 7,    0.040393, 127871557632.000000
NDUS3_MOUSE,    0.225820, 8,    0.047326, 135037091840.000000
NDUS4_MOUSE,    0.245053, 2,    0.008339, 16278684672.000000
NDUS5_MOUSE,    0.189608, 4,    0.030576, 20113569792.000000
NDUS6_MOUSE,    0.314413, 4,    0.038191, 15223389184.000000
NDUS7_MOUSE,    1.685107, 2,    0.959418, 20751695872.000000
NDUS8_MOUSE,    0.106855, 3,    0.041342, 38635814912.000000
NDUV1_MOUSE,    0.174863, 11,    0.043412, 128168181760.000000
NDUV2_MOUSE,    0.143131, 7,    0.042838, 68747902976.000000
NEDD4_MOUSE,    8.862916, 1,    0.000000, 2624417536.000000
NEDD8_MOUSE,    0.786611, 1,    0.000000, 121292024.000000
NEUA_MOUSE,    0.328721, 4,    0.353159, 43529023488.000000
NEUL_MOUSE,    0.136883, 4,    0.136276, 3452342784.000000
NFS1_MOUSE,    0.359288, 3,    0.089607, 8820084736.000000
NFU1_MOUSE,    0.562057, 2,    0.281469, 1570313856.000000
NGP_MOUSE,    0.100455, 1,    0.000000, 249380864.000000
NH2L1_MOUSE,    0.108982, 3,    0.061747, 9062899712.000000
NHP2_MOUSE,    0.138656, 2,    0.017837, 2125572992.000000
NHRF1_MOUSE,    1.401555, 4,    0.202154, 27780800512.000000
NHRF3_MOUSE,    0.630714, 7,    0.148247, 35551518720.000000
NIF3L_MOUSE,    0.301849, 1,    0.000000, 281595520.000000
NINJ1_MOUSE,    0.438751, 1,    0.107517, 1809137920.000000
NIPS1_MOUSE,    0.128787, 10,    0.041198, 447669927936.000000
NIPS2_MOUSE,    0.080811, 1,    0.000000, 158944928.000000
NIT1_MOUSE,    0.205278, 7,    0.045359, 80955711488.000000
NIT2_MOUSE,    0.178851, 11,    0.022291, 242894389248.000000
NLRX1_MOUSE,    0.038323, 2,    0.279167, 87025288.000000
NMI_MOUSE,    1.081597, 2,    0.513498, 1278115840.000000
NMRL1_MOUSE,    0.165732, 1,    0.117063, 362912928.000000
NMT1_MOUSE,    0.498400, 4,    0.233016, 9816357888.000000
NMT2_MOUSE,    0.283523, 2,    0.112989, 164072816.000000
NNRD_MOUSE,    0.248242, 7,    0.097746, 15465564160.000000
NNRE_MOUSE,    0.142963, 5,    0.034191, 49730371584.000000
NOMO1_MOUSE,    0.118111, 6,    0.017960, 40786378752.000000
NONO_MOUSE,    1.191399, 4,    0.599194, 13199509504.000000
NOP56_MOUSE,    0.168215, 4,    0.046461, 30593044480.000000
NOP58_MOUSE,    0.084047, 4,    0.012476, 10298755072.000000
NP1L1_MOUSE,    0.623767, 3,    1.027362, 10271319040.000000
NP1L4_MOUSE,    0.361647, 2,    0.093174, 4147892992.000000
NPC2_MOUSE,    0.501947, 2,    0.036783, 1219629696.000000
NPL4_MOUSE,    0.603407, 2,    0.184119, 5706823168.000000
NPM_MOUSE,    0.222276, 6,    0.055224, 75577745408.000000
NPS3B_MOUSE,    0.114711, 3,    0.057303, 42177941504.000000
NPT2A_MOUSE,    0.000767, 2,    0.000476, 438317728.000000
NPTN_MOUSE,    0.718387, 1,    0.169840, 358703168.000000
NQO2_MOUSE,    0.205728, 8,    0.051569, 111001509888.000000
NSDHL_MOUSE,    0.618738, 8,    0.152688, 39633797120.000000
NSF1C_MOUSE,    0.535533, 3,    0.040945, 18668087296.000000
NSF_MOUSE,    0.244081, 3,    0.053942, 1089175424.000000
NSMA_MOUSE,    0.267587, 1,    0.000000, 91725368.000000
NSUN2_MOUSE,    0.133697, 1,    0.000000, 31402320.000000
NT5C_MOUSE,    0.865446, 1,    0.000000, 7444786688.000000
NT8F2_MOUSE,    0.680708, 3,    0.565114, 98120884224.000000
NTCP_MOUSE,    1.329556, 1,    0.000000, 32509648896.000000
NTF2_MOUSE,    0.128156, 3,    0.017166, 2529548288.000000
NU155_MOUSE,    0.032506, 3,    0.041823, 646389696.000000
NU160_MOUSE,    0.000094, 1,    0.437799, 94827344.000000
NU1M_MOUSE,    0.131547, 3,    0.048329, 12732087296.000000
NU2M_MOUSE,    0.166137, 1,    0.000000, 5082345472.000000
NU3M_MOUSE,    0.153290, 1,    0.000000, 1405914880.000000
NU4M_MOUSE,    0.123314, 1,    0.000000, 14542198784.000000
NU5M_MOUSE,    0.138962, 4,    0.102339, 33369350144.000000
NUBPL_MOUSE,    0.054711, 2,    0.038457, 446153056.000000
NUCG_MOUSE,    9.670595, 2,    6.331332, 10249531392.000000
NUCL_MOUSE,    0.487271, 5,    0.207229, 67177738240.000000
NUD12_MOUSE,    0.363609, 4,    0.087351, 24818202624.000000
NUD16_MOUSE,    0.165304, 1,    0.000000, 12206397.000000
NUD19_MOUSE,    0.351800, 3,    0.250272, 10483924992.000000
NUDC1_MOUSE,    5.468087, 0,    0.000000, 1477246976.000000
NUDC_MOUSE,    0.301999, 3,    0.472011, 961533312.000000
NUDT5_MOUSE,    0.334907, 1,    0.000000, 331012608.000000
NUDT7_MOUSE,    0.742103, 6,    0.080387, 297509650432.000000
NUDT8_MOUSE,    0.113506, 1,    0.000000, 187297456.000000
NUP43_MOUSE,    0.012583, 0,    0.000000, 151739504.000000
NUP93_MOUSE,    0.030134, 2,    0.024046, 502656256.000000
NXP20_MOUSE,    0.280210, 0,    0.000000, 296085472.000000
OASL1_MOUSE,    0.248444, 1,    0.000000, 1741474560.000000
OAT_MOUSE,    1.187059, 15,    0.292509, 476229402624.000000
OCAD1_MOUSE,    0.602823, 4,    0.243070, 20381286400.000000
OCAD2_MOUSE,    0.664559, 1,    0.287678, 5254981632.000000
OCTC_MOUSE,    1.442595, 11,    0.293166, 91066990592.000000
ODB2_MOUSE,    0.160933, 8,    0.057256, 105967230976.000000
ODBA_MOUSE,    0.257309, 7,    0.048528, 132784144384.000000
ODBB_MOUSE,    0.062406, 4,    0.049732, 49315565568.000000
ODC_MOUSE,    0.365816, 1,    0.000000, 222541904.000000
ODO1_MOUSE,    0.413508, 17,    0.106110, 130255757312.000000
ODO2_MOUSE,    0.128195, 5,    0.024576, 220832137216.000000
ODP2_MOUSE,    0.106160, 6,    0.027144, 148403732480.000000
ODPA_MOUSE,    0.030171, 5,    0.034722, 100810137600.000000
ODPB_MOUSE,    0.211914, 12,    0.041105, 226834169856.000000
ODPX_MOUSE,    0.124420, 4,    0.062576, 8204465664.000000
ODR4_MOUSE,    0.455871, 2,    0.114290, 2455423744.000000
OLA1_MOUSE,    0.161321, 4,    0.034848, 22531526656.000000
OPA1_MOUSE,    0.166062, 7,    0.113451, 23552311296.000000
OPA3_MOUSE,    0.175676, 1,    0.000000, 3320930560.000000
OPLA_MOUSE,    0.423450, 20,    0.112742, 122665361408.000000
ORNT1_MOUSE,    0.257522, 7,    0.027845, 150483648512.000000
ORN_MOUSE,    0.528236, 1,    0.000000, 396403616.000000
OSBL1_MOUSE,    0.486668, 4,    0.226841, 1795012480.000000
OSBL8_MOUSE,    0.645741, 1,    0.392562, 603963904.000000
OSBL9_MOUSE,    0.684153, 2,    0.163585, 293492640.000000
OSBP1_MOUSE,    0.328053, 3,    0.025163, 2454443520.000000
OSGEP_MOUSE,    0.114072, 1,    0.000000, 1774738944.000000
OST48_MOUSE,    0.087086, 4,    0.030447, 130974916608.000000
OSTC_MOUSE,    0.106508, 0,    0.000000, 30755645440.000000
OSTF1_MOUSE,    0.507758, 1,    0.189215, 5040404480.000000
OTC_MOUSE,    0.126184, 17,    0.030914, 2545536729088.000000
OTUB1_MOUSE,    0.454410, 4,    0.073585, 9661021184.000000
OXND1_MOUSE,    0.679036, 1,    0.181088, 656022208.000000
OXSM_MOUSE,    0.153458, 5,    0.027059, 14951201792.000000
OXSR1_MOUSE,    0.169079, 3,    0.064853, 1081838976.000000
P20D1_MOUSE,    0.363787, 4,    0.112146, 33469075456.000000
P5CR3_MOUSE,    0.441933, 3,    4.786809, 31819796480.000000
PA1B2_MOUSE,    0.164321, 3,    0.258958, 3917010688.000000
PA2G4_MOUSE,    0.177893, 7,    0.040502, 131324903424.000000
PABP1_MOUSE,    0.251785, 10,    0.077287, 175758950400.000000
PACN2_MOUSE,    0.392467, 3,    0.300611, 8655585280.000000
PACN3_MOUSE,    0.240360, 4,    0.066577, 8093426688.000000
PAFA2_MOUSE,    0.538609, 4,    2.024309, 9328324608.000000
PAG15_MOUSE,    0.132191, 2,    0.049166, 908346496.000000
PAHX_MOUSE,    4.173174, 6,    2.638739, 51461070848.000000
PAIRB_MOUSE,    0.372895, 5,    0.072812, 13803413504.000000
PAPS2_MOUSE,    0.377101, 8,    0.156654, 52063076352.000000
PARK7_MOUSE,    0.262877, 10,    0.053880, 223232376832.000000
PARL_MOUSE,    0.148960, 1,    0.082631, 1551948928.000000
PARP1_MOUSE,    0.554761, 2,    0.357334, 691641280.000000
PARP9_MOUSE,    0.488587, 3,    0.202180, 9635865600.000000
PARVA_MOUSE,    0.265808, 1,    0.111345, 3745848064.000000
PAXI_MOUSE,    0.331349, 1,    0.000000, 718405184.000000
PBLD1_MOUSE,    0.233075, 11,    0.058283, 438767419392.000000
PBLD2_MOUSE,    0.352443, 6,    0.074731, 113106845696.000000
PCBP1_MOUSE,    0.406141, 9,    0.239729, 191564955648.000000
PCBP2_MOUSE,    0.402246, 5,    0.323586, 51527667712.000000
PCCA_MOUSE,    0.117016, 17,    0.032648, 197595398144.000000
PCCB_MOUSE,    0.118350, 9,    0.025818, 226335490048.000000
PCKGC_MOUSE,    3.428324, 8,    2.537416, 232306982912.000000
PCP_MOUSE,    0.193837, 1,    0.143599, 2878423552.000000
PCY1A_MOUSE,    0.100115, 2,    0.408106, 1521468544.000000
PCY2_MOUSE,    0.467015, 7,    0.196397, 61391450112.000000
PCYOX_MOUSE,    0.500420, 7,    0.156875, 33987774464.000000
PDC6I_MOUSE,    0.497540, 7,    0.153017, 39052328960.000000
PDCD6_MOUSE,    0.792668, 1,    0.000000, 14981253120.000000
PDIA1_MOUSE,    0.468193, 25,    0.113010, 2401336819712.000000
PDIA3_MOUSE,    0.392875, 36,    0.098511, 1463968333824.000000
PDIA4_MOUSE,    0.423852, 21,    0.101275, 408601690112.000000
PDIA5_MOUSE,    0.078585, 6,    0.014689, 176951869440.000000
PDIA6_MOUSE,    0.375601, 11,    0.081438, 318275026944.000000
PDIP2_MOUSE,    0.845488, 1,    0.000000, 7480260608.000000
PDK1_MOUSE,    0.293200, 3,    0.583740, 878441664.000000
PDLI1_MOUSE,    0.226358, 4,    0.302402, 2257980160.000000
PDLI5_MOUSE,    0.422222, 4,    0.081792, 7835692544.000000
PDS5B_MOUSE,    0.000180, 0,    0.000000, 99072384.000000
PDXD1_MOUSE,    0.393032, 1,    0.255565, 901786048.000000
PDXK_MOUSE,    0.211621, 8,    0.021874, 65647513600.000000
PEBP1_MOUSE,    0.211525, 7,    0.033231, 263637860352.000000
PECR_MOUSE,    0.258265, 6,    0.046553, 282962329600.000000
PEDF_MOUSE,    1.992447, 0,    0.000000, 338211680.000000
PEMT_MOUSE,    0.281941, 3,    0.065367, 19651102720.000000
PEPD_MOUSE,    0.600785, 0,    0.000000, 725791808.000000
